7.6659e+05,5.1905e+07,7.2354e+05,5.1098e+07,4.7975e+05,4.9831e+07,3.2793e+05,5.0187e+07,4.977e+05,5.12e+07
1.2473e+06,2.4506e+07,7.4067e+05,2.1816e+07,7.4131e+05,2.1989e+07,5.3044e+05,2.3574e+07,5.7136e+05,2.1543e+07
1.1828e+06,3.2565e+07,1.1828e+06,2.4708e+07,1.1833e+06,2.3365e+07,2.6007e+05,2.584e+07,3.2275e+05,3.2095e+07
14179,4.7392e+06,14178,4.8121e+06,1526,5.0295e+06,636,4.7549e+06,3662,4.6955e+06
15199,6.3489e+06,11925,7.8088e+06,2878,1.0398e+07,954,1.0644e+07,989,1.0549e+07
8.6991e+05,1.8422e+07,1.9048e+05,1.5299e+07,1.3284e+05,1.5556e+07,1.3326e+05,1.6101e+07,1.6308e+05,1.5884e+07
1.0882e+06,2.3274e+07,3.7420e+05,1.8606e+07,85835,1.9049e+07,82674,1.9434e+07,3.6735e+05,1.9248e+07
6.721e+05,1.5575e+07,4.2015e+05,1.3797e+07,4.205e+05,1.512e+07,3.3996e+05,1.4191e+07,4.4981e+05,1.4077e+07
26535,5.0931e+06,15028,5.0041e+06,15048,5.0698e+06,37262,5.2272e+06,11665,5.0559e+06
93794,7.3426e+06,40236,7.026e+06,39170,6.9305e+06,21276,6.914e+06,34186,6.8714e+06
12406,4.9478e+06,4803,4.6497e+06,4806,4.7039e+06,6270,4.7524e+06,4944,4.7545e+06
4.597e+05,1.2536e+07,86387,1.0487e+07,3931,1.0318e+07,3520,1.05e+07,14613,1.0578e+07
5.763e+05,1.4284e+07,3.6028e+05,1.2809e+07,3.6057e+05,1.3122e+07,2.6651e+05,1.3241e+07,2.6754e+05,1.3069e+07
94656,6.2663e+06,29744,5.8559e+06,28896,6.9856e+06,14776,5.8201e+06,20164,5.9583e+06
4.1496e+05,1.2092e+07,1.2984e+05,1.1454e+07,1.2076e+05,1.1606e+07,85249,1.1484e+07,1.2787e+05,1.2885e+07
