2.1135e+06,9.5347e+06,1.712e+05,8.3205e+06,1.754e+06,1.1162e+07,1.914e+06,9.5196e+06
6.3102e+05,7.4999e+06,642,6.8898e+06,5128,9.2136e+06,4.8428e+05,7.4462e+06
6.053e+06,4.2981e+07,9.2324e+05,3.8106e+07,2.4289e+06,6.7828e+07,4.335e+06,4.1132e+07
8.9634e+06,1.5289e+07,9.0999e+06,1.6214e+07,5.4735e+06,1.8365e+07,8.7615e+06,1.5116e+07
1.0663e+06,1.9601e+07,3.3046e+05,1.8941e+07,9.0942e+05,2.0353e+07,9.3552e+05,1.9815e+07
16896,1.1165e+07,7964,1.11e+07,8267,1.1444e+07,9789,1.1175e+07
1.901e+06,1.5155e+07,10157,1.3072e+07,2.0544e+05,2.3154e+07,1.2679e+06,1.4915e+07
95033,5.3633e+06,99055,5.32e+06,41284,5.4894e+06,82536,5.3397e+06
7.4348e+06,2.8743e+07,3.9644e+06,2.8891e+07,6.274e+06,3.78e+07,6.2637e+06,2.7784e+07
9973,4.4979e+06,591,4.7192e+06,3091,4.7736e+06,5361,4.805e+06
38927,4.9099e+06,280,4.7169e+06,606,5.0929e+06,26171,4.8048e+06
3.3279e+06,1.5406e+07,33025,1.3028e+07,5.7219e+05,2.0866e+07,2.8157e+06,1.4808e+07
9.8972e+05,1.4614e+07,1.5729e+05,1.4222e+07,3.5093e+05,1.9815e+07,3.4857e+05,1.4034e+07
9.9337e+06,6.711e+07,84963,4.0201e+07,6.1962e+05,8.2944e+07,7.1233e+06,4.7154e+07
3.3278e+06,4.8992e+07,2.6215e+06,5.0599e+07,2.3174e+06,6.0987e+07,2.4787e+06,4.8353e+07
3.7194e+05,5.7567e+06,3.8603e+05,5.9068e+06,1.4771e+05,6.588e+06,3.2288e+05,5.7776e+06
83239,5.2325e+06,2882,5.2175e+06,29584,5.7434e+06,46847,5.1933e+06
4.1898e+07,1.6665e+08,4.6393e+07,2.012e+08,3.2581e+07,2.5009e+08,3.5488e+07,1.8309e+08
5.633e+05,8.955e+06,69068,8.2653e+06,1.2222e+05,1.2542e+07,2.8453e+05,8.6908e+06
1.6963e+06,1.4351e+07,10129,1.2292e+07,1.9811e+05,2.149e+07,1.1332e+06,1.4053e+07
5.0593e+06,2.3191e+07,1.1836e+06,1.4062e+07,4.4065e+06,2.187e+07,4.563e+06,1.6639e+07
1.4831e+07,1.1208e+08,46977,8.6332e+07,7.7379e+05,1.808e+08,8.3820e+06,9.749e+07
2.8044e+06,3.1613e+07,3.9177e+05,2.7619e+07,1.3449e+06,4.1849e+07,1.2621e+06,2.859e+07
4.0617e+05,1.0848e+07,8706,6.2024e+06,1.2139e+05,9.8936e+06,3.3622e+05,9.5547e+06
1.6002e+06,1.1322e+07,5.102e+05,1.2164e+07,1.1292e+06,1.5644e+07,1.338e+06,1.3757e+07
9.7247e+05,9.9109e+06,7.6441e+05,1.0191e+07,6.5363e+05,1.3075e+07,6.5157e+05,9.556e+06
7.0563e+07,1.467e+08,9.3477e+06,1.3148e+08,2.6892e+07,2.3247e+08,6.4587e+07,1.5062e+08
1.068e+06,7.3582e+06,34194,7.3585e+06,1.452e+05,9.8168e+06,9.1689e+05,7.7784e+06
6.2397e+06,5.2357e+07,2.6315e+06,5.289e+07,4.2651e+06,5.8846e+07,4.1543e+06,4.5666e+07
13559,4.766e+06,361,4.7234e+06,891,4.8142e+06,7700,4.798e+06
73646,5.2279e+06,2828,5.0609e+06,26267,5.6334e+06,37462,5.1814e+06
4.5576e+05,1.5657e+07,37444,1.5009e+07,43989,1.9871e+07,1.2436e+05,1.5536e+07
12221,6.7293e+06,1047,5.5974e+06,6074,5.7193e+06,8967,5.9082e+06
73646,5.2279e+06,2828,5.0609e+06,26267,5.6334e+06,37462,5.1814e+06
6.1129e+06,5.7152e+07,1.5623e+06,4.7758e+07,5.1339e+06,5.521e+07,5.0355e+06,3.8659e+07
1.1251e+08,4.5234e+08,1.1192e+08,5.2799e+08,9.1601e+07,7.8633e+08,9.5371e+07,4.8204e+08
